Name,Work Stream,Assigned to,Epic,Kanban,Notes
Review utilisation and service WIP,Framework,,Misc,Done ,
Ideation sessions and TD value behaviours,Framework,,Misc,To do ,
Understanding current approach and thinking ,Framework,,Tom support ,Review ,Team updated and understand current approach
GDS funding ,Framework,,Tom support ,To do ,
Future NHS funding,Framework,,Tom support ,To do ,
Current PMO Stats on delivery,Framework,,Review as is ,Sprint Planning,
Interview business stakeholders ,Framework,,Review as is ,In Progress,"Prepare for interview 
Interview
Collate findings
Share with team
Share w Jacques + Chel"
Create working group,Framework,,Review as is ,Review ,"Get final list from from Jacques + Chel
Check resourcing is okay with team members 
(eg. Taz availability w Helen)
Communicate with working group members
"
Interview TD stakeholders,Framework,,Review as is ,Done ,"Interview
Collate findings
Share with team
Share w Jacques + Chel"
Data at GDS,Framework,,Data Framework,To do ,
Web analytics governance ,Framework,,Data Framework,To do ,
Review MHRA Future Portfolio,Framework,,Empower and Embed ,To do ,
Resource planning ,Framework,,Empower and Embed ,To do ,
Establish current resourcing,Framework,,Empower and Embed ,To do ,
Rust training,Framework,,Empower and Embed ,To do ,
Proposal - Design Sprint as a service ,Framework,,Empower and Embed ,To do ,
Playback sprint to JQ ,Culture ,,Design Week,Done ,
Facilitator retro,Culture ,,Design Week,Done ,
Vision Statement workshop ,Culture ,,Transformation Academy,Done ,
Agile is not magic - TA Webinar,Framework,Rafa Prada,Transformation Academy,In Progress,
Support Transition,Products ,,Products/CPD,To do ,
Kaylie approve service now requests ,Products ,,Products/CPD,Sprint Planning,
Kick off ,Products ,,Digital Channels ,Sprint Planning,
Vendor alignment,Framework,,Misc,Sprint Planning,RB + EY - 1st of April
EY catch up ,Framework,,Review as is ,Done ,
Plan for approach on framework ,Framework,,Review as is ,In Progress,
Collect pain points from journey mapping,Framework,,Review as is ,Review ,"Share mural for dot voting
Print map "
Alignment meeting with data team ,Framework,,Data Framework,,
ATC number ,Framework,,Data Framework,,
Meeting with Jan McDonald ,Framework,,Data Framework,Done ,
Get a copy of new values and behaviours ,Framework,,Misc,Done ,
Share maps with RB team ,Framework,,Review as is ,Done ,
Idea to dev mapping session ,Framework,,Review as is ,Done ,
Get business interview list ,Framework,,Review as is ,Done ,
Share Transformation Academy progress,Framework,,Transformation Academy,To do ,Share our approach and progress so far w Jacques and Chel 
Design sprint training ,Culture ,,Design Week,Done ,
Facilitation skills support ,Culture ,,Design Week,Done ,
Design sprint planning ,Culture ,,Design Week,Done ,
Design thinking bootcamp,Culture ,,Design Week,Done ,
Townhall demos ,Culture ,,Design Week,Done ,
Sprint week video ,Culture ,,Design Week,Done ,
Post sprint activities ,Culture ,,Design Week,Done ,
Review current courses ,Culture ,,Transformation Academy,Done ,
Meet team for feedback ,Culture ,,Transformation Academy,Done ,
Lunch and learn list ,Culture ,,Transformation Academy,Done ,
Full skateboard ,Products ,,Products/CPD,In Progress,
Confirmation of infra,Products ,,Products/CPD,In Progress,
Service design checklist ,Products ,,Products/CPD,In Progress,
Delivery phases ,Products ,,MDR,In Progress,
BDG Alignment ,Products ,,MDR,In Progress,
Commercials ,Products ,,MDR,Review ,
